audienceId,id,name
351436,338687,01 - APLF LEATHER - SP (Christmas Card)
351436,335757,01 - APLF FAS - VP V1
351436,335756,01 - APLF M+ - VP V1
351436,335755,01 - APLF LEATHER - VP V2
351436,319788,01 - APLF M+ - SP V4 (incl China)
351436,319787,01 - APLF LEATHER - SP V4 (incl China)
351436,319784,01 - APLF FAS - SP V4 (incl China)
351436,318679,01 - APLF FAS - SP Associations  (Excl China)
351436,311724,01 - APLF - VP V1 (Excl China)
351436,310947,01 - APLF M+ - SP V3 (Excl China)
351436,310946,01 - APLF LEATHER - SP V3 (Excl China)
351436,310945,01 - APLF FAS - SP V3 (Excl China)
351436,306543,01 - APLF LEATHER - DAB (Excl China)
351436,294236,Email Activity - Bounceback
351436,281334,01 - APLF FAS - SP V2 (Excl China)
351436,281313,01 - APLF M+ - SP V2 (Excl China)
351436,281137,01 - APLF LEATHER - SP V2 (Excl China))
351436,278499,ASEAN - VP_RCEP (China)
351436,278261,ASEAN - VP_RCEP (Copy)
351436,278249,ASEAN - VP_RCEP (Without China)
351436,260790,Email Unsub
351436,259836,Email Activity - Sent
351436,259826,ASEAN - VP_v2
351436,248402,01 - APLF ASEAN - SP5 (SF only)
351436,248119,ACLE - Post Show PR - Media (Copy)
351436,248117,01 - APLF ASEAN - SP2 (General)
351436,247090,ACLE - Rebooking
351436,241615,ACLE - Post Show PR - Media
351436,241486,ASEAN - VP_RCEP
351436,225458,(ACLE23) Salesforce: Closed Won Opportunity
351436,225451,ACLE - Closed won
351436,221700,20230817_Test_BL
351436,209558,01 - APLF LEATHER - SP V2
351436,209552,01 - APLF FAS - SP V2
351436,209540,ACLE - VP (General) v2
351436,209539,(ACLE23) Salesforce: Closed Won Opportunity
351436,206847,01 - APLF LEATHER - SP (Copy)_AW_20230801
351436,205654,Sanction Countries
351436,200063,01 - APLF M+ - SP V2
351436,196627,01 - APLF LEATHER - SP (Copy_2)
351436,196600,(APLF24) Salesforce: Closed Won Opportunity
351436,196599,Dummy / Competitor / IM Staff
351436,195854,(ASEAN) Salesforce: Closed Won Opportunity
351436,195805,01 - APLF ASEAN - SP (General)
351436,195792,01 - APLF LEATHER - SP (Copy)
351436,194643,(Test)01 - APLF FAS - SP
351436,194632,ACLE Visitor Promotion
351436,193739,ACLE - VP (General)
351436,189191,testing
351436,184175,(Test) 01 - APLF M+ - SP
351436,184164,01 - APLF FAS - SP
351436,184100,01 - APLF M+ - SP
351436,182937,(Test) 01 - APLF LEATHER - SP
351436,181292,01 - APLF LEATHER - SP
351436,177084,Test - Press Release Blasting
351436,177054,2019S1
351436,177038,DEMO3_Oppty_Closed Lost
351436,177037,DEMO2_Oppty Negotiate
351436,177036,DEMO1_Oppty Closed Won
351436,176234,07 Template - Press Release Blasting
351436,176232,06 Template - VP (Fashion Access)
351436,176228,05 Template - VP (Materials+)
351436,176227,04 Template - VP (APLF Leather)
351436,176226,02 Template - VP (CW)
351436,176225,03 Template - VP (APLF General)
351436,176215,Test
351436,176202,01 Template - SP
351436,167918,Demo - Brianna
351436,167917,Karen
351436,167916,Demo (Bernice)
351436,167915,Demo_Press
351436,167914,Demo_KC
351436,167911,Demo
351436,167887,DEMO_20230616
351436,167654,DS_DEMO3_Press Release
351436,167653,DS_DEMO2_Conference Promotion
351436,167652,DS_DEMO1_M+ Buyer Promotion
351436,167100,JC_TEST_20230615_APLF
351436,166741,00 Eblast Template
351436,166737,Visitor Promotion - General Campaign
351436,165926,Testing Segment_2
351436,165046,Salesforce_DEMO6: Call for Sales (Vis & Exh)
351436,165043,Salesforce_DEMO5: Invite to Rebook
351436,165040,Salesforce_DEMO4: Invite to Exhibit
351436,165038,Salesforce_DEMO3: Closed Won Opportunity
351436,165034,Salesforce_DEMO2: Find Potential Exh by Spending
351436,165032,Salesforce_DEMO1: Find Potential Exh by Sqm
351436,162041,Testing Segment
351436,160322,Irrelevant List
351436,160321,Competitor List
351436,160320,Informa Staff
351436,160319,Visitor Prospect
351436,160318,Dummy Email
351436,158637,Activation-Sample (Do Not Remove)
351436,120141,AW_TEST_20230515
351436,117530,Test_fashion_GN
349216,313632,JC_TH_TEST2_20231123
349216,273889,Email Unsub
349216,273887,Email Activity
349216,273883,Visitor Prospect
349216,273882,Sanction Country List
349216,234938,JC_TEST_20230831_CPHISEA
349216,226299,Test_GN_CPHI
349216,213103,Testing_080823
349216,167886,Mandatory Pre-set: CPHI-SEA
349216,158618,CPHI SEA Thai attendees 2022
349216,145140,CPHI Korea-Demo-20230518
349216,120147,Competitor List
349216,120146,ASEAN Country List
349216,120144,"Irrelevant List (student, freelancer)"
349216,118949,Activation-Sample (Do Not Remove)
349216,118948,Informa Staff
349216,118947,Dummy Email
349216,117292,Test_CPHI_GN
349216,116584,JC_TEST_20230427_CPHISEA
349215,273935,Visitor Prospect
349215,182906,Nino Cruz
349215,167894,Mandatory Pre-set: VFA
349215,120636,entitlement request
349215,120176,"Irrelevant List (student, freelancer)"
349215,120175,Competitor List
349215,120170,ASEAN Country List
349215,118953,Informa Staff
